name,place_type,address,rating,price_level,rating_count,latitude,longitude,hours,details
WARKOP 2 SAUDARA,Kafe,"Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta","4,5",,2,-6.1982042,106.8204218,,
"Warkop Selamat Sejahtera, Kebon Kacang",Kedai Kopi,"Jl. Kebon Kacang 30 No.15, RT.5/RW.4","4,5",,2,-6.1982042,106.8204218,,
Warkop Been Aouf,Kafe,"Jl. Kb. Kacang XL No.24, RT.10/RW.4","4,5",Rp 1–25.000,68,-6.1982042,106.8204218,,
Warkop otoy,Kedai Kopi,Jl. Kebon Kacang 30 No.7,"5,0",,3,-6.1982042,106.8204218,,
Warkop Barokah masjid jami'e darusalam,Kedai Kopi,"Masjid Darussalam, Jl. Kotabumi Ujung No.Depan 8, RT.8/RW.3","4,5",,2,-6.1982042,106.8204218,,
Warkop Sehati,Kedai Kopi,"Jl. Kb. Kacang 6 No.70 14, RT.14/RW.5","5,0",,1,-6.1982042,106.8204218,,
Warkop Tiku,Kedai Kopi,Thamrin City Lantai 3 No 28 Food court Jln Teluk Betung Boulevard,"4,7",$,56,-6.1982042,106.8204218,,Makan di tempat·Bawa pulang·Pesan antar
Warkop Winalu,Kafe,"Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta",,,,-6.1982042,106.8204218,,
WARKOP AZIJAH,Kedai Kopi,"Jl. Kebon Kacang 42 No.32 15, RT.15/RW.8",,,,-6.1982042,106.8204218,,
Warkop kuningan,Kedai Kopi,"Jl. Kebon Sayur No.20, RT.14/RW.3","5,0",,1,-6.1982042,106.8204218,,
Warkop putra kuningan,Kedai Kopi,"Jl. Kb. Kacang 9 No.4, RT.8/RW.8",,,,-6.1982042,106.8204218,,
WARKOP MOTEKAR,Kedai Kopi,"Jl. Talang Betutu Ujung No.10 15, RT.13/RW.4","4,7",,3,-6.1982042,106.8204218,,
Warkop Khabita 78,Kedai Kopi,"No., Jl. Tj. Duren Raya No.1, RT.3/RW.1","4,7",,22,-6.1982042,106.8204218,,
Warkop Mamah GALANG & BAIM,Kedai Kopi,"Jl. Dukuh Pinggir V No.19 10, RT.10/RW.6","4,3",,3,-6.1982042,106.8204218,,
Warkop Bang DuDung,Kafe,"RR6C+RM3, Jl. Kb. Kacang XI","4,5",,8,-6.1982042,106.8204218,,
WARKOP NANDA,Kafe,"Jl. Kb. Kacang 6 No.13 25a, RT.13/RW.5",,,,-6.1982042,106.8204218,,
WARKOP BABEH,Kedai Kopi,Jl. Sungai Gerong No.1-1A,"5,0",,1,-6.1982042,106.8204218,,
Warkop Sugab,Kafe,"Jl. Kp. Bali X No.26 7, RT.8/RW.9","4,8",,19,-6.1982042,106.8204218,,
Warkop Kabengbat,Kafe,"Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta","4,0",,2,-6.1982042,106.8204218,,
Warkop Sahabat,Kafe,"The City Tower, Jl. MH Thamrin No.81, RT.1/RW.6",,,,-6.1982042,106.8204218,,
WARKOP PUTRI AQILA,Kedai Kopi,"RR7G+63P hasim, Jl. K.H. Wahid Hasyim, RT.03/04/RW.no 81",,,,-6.1869183,106.8251952,,
Warkop AP KT NT AJ,Kedai Kopi,"samping Gedung Jamiat Kheir, Jl. Kb. Kacang 6","5,0",,2,-6.1869183,106.8251952,,
Warkop pancong Lontar ( Kebon Melati ),Kafe,"Jl. Lontar Raya No.107b 1, RT.1/RW.12","4,6",,10,-6.1869183,106.8251952,,
Warkop kang Ahyar,Kafe,"Jl. Lontar Atas No.15, RT.1/RW.7",,,,-6.1869183,106.8251952,,
Warkop Segitiga,Kafe,"Jl. K.H. Wahid Hasyim No.54A 7, RT.7/RW.5","3,3",,8,-6.1869183,106.8251952,,Makan di tempat·Bawa pulang
WARKOP SIAKANG WAE,Kedai Kopi,"Jl. Lontar Raya No.30B 2, RT.2/RW.7",,,,-6.1869183,106.8251952,,
Warkop Slamet. Bw,Kafe,"QRX8+R2M, RT.1/RW.17","4,1",,7,-6.1869183,106.8251952,,
